"Front","Back","Context"
"Representative Sample","**answer:** Probabilities must be estimated using comprehensive previously collected data to accurately represent reality.

**basic explanation:** Use enough real-world past data so your probability estimates are trustworthy, not based on a small biased sample.","EX 1"
"Features","**answer:** The specific defining characteristics (e.g. chosen words) that effectively identify and differentiate the target classes.

**basic explanation:** Features are the measurable clues (like words or values) a model uses to tell one class from another.","EX 1"
"Compact Domain","**answer:** Selecting only those features that display distinctly differing probabilities between classes to optimize the model.

**basic explanation:** Keep only features that clearly separate classes, so the model stays simpler and learns faster.","EX 1"
"Simpler Constituents","**answer:** Breaking down complex input data (e.g. full text) into manageable atomic units (e.g. individual words).

**basic explanation:** Split complex data into small pieces (like words) so algorithms can count and compare them.","EX 1"
"Structure (in feature models)","**answer:** The arrangement of components such as sentence structure or word ordering — notably disregarded when features are assumed independent.

**basic explanation:** If a model assumes independence, it ignores word order and focuses only on which features appear.","EX 1"
"Similarity (in classification)","**answer:** The underlying assumption that patterns containing similar features belong to similar classes.

**basic explanation:** If two examples look alike in their features, the model assumes they likely belong to the same class.","EX 1"
"Prior Probability P(y)","**answer:** The baseline probability of a class occurring known before analyzing any specific features or data points.

**basic explanation:** This is your starting belief about class frequency before seeing the current input.","EX 1"
"Class-Conditional Probability P(x|y)","**answer:** The distribution of feature vectors within a specific class calculated as the product of individual feature probabilities under the statistical independence assumption: P(x|y) = prod P(x_i|y).

**basic explanation:** This measures how likely those features are if we already know the class, often by multiplying per-feature probabilities.","EX 1"
"Bayesian Decision Rule","**answer:** Assign an instance to the class with the highest posterior probability: y_hat = argmax_y [ P(y) * P(x|y) ].

**basic explanation:** Compute a score for each class using prior times likelihood, then choose the class with the biggest score.","EX 1"
"Unnormalized Posteriors","**answer:** In Bayesian classification posteriors do not need to sum to 1 to make a valid decision — only the relative maximum matters.

**basic explanation:** For choosing the best class, exact normalization is unnecessary because only the largest value matters.","EX 1"
"Posterior Probability Modeling","**answer:** Posteriors can be modeled as F(x) passed through the logistic (sigmoid) function. If F(x) > 0 the predicted class approaches 0; if F(x) <= 0 the class approaches 1.

**basic explanation:** A scoring function is passed through a sigmoid to convert it into a class probability between 0 and 1.","EX 2"
"Gaussian Decision Boundaries — General Case","**answer:** For Gaussian class-conditional densities the decision boundary is a quadratic polynomial (circles ovals parabolas or hyperbolas).

**basic explanation:** With Gaussian classes, the separator is usually curved (quadratic), not a straight line.","EX 2"
"Gaussian Decision Boundaries — Equal Covariance","**answer:** If both classes share identical covariance matrices (Sigma_1 = Sigma_2) the decision boundary becomes entirely linear.

**basic explanation:** If classes have the same covariance shape, quadratic terms cancel and the separator becomes linear.","EX 2"
"Effect of Prior Probabilities on Decision Boundary","**answer:** A change in prior probabilities introduces a constant offset to the decision boundary. If priors and covariance matrices are identical across classes this offset is zero.

**basic explanation:** Changing class priors shifts the boundary toward the less likely class, acting like a constant bias term.","EX 2"
"Parameter Estimation — Discriminative Approach","**answer:** For Gaussian class-conditional densities it is easier to directly estimate the decision boundary parameters than to estimate all generative parameters (priors means covariance matrices).

**basic explanation:** Instead of modeling every distribution detail, directly learn the boundary that best separates classes.","EX 2"
"Non-linear Decision Boundaries","**answer:** A non-linear decision boundary requires that the covariance matrices of the involved Gaussians are NOT identical (Sigma_1 != Sigma_2).

**basic explanation:** Different covariance matrices create curved boundaries because class spread differs by direction.","EX 2"
"Log-Likelihood — Assumptions","**answer:** Optimizing the log-likelihood assumes all training samples are mutually independent: L(theta) = sum_i log P(x_i | theta).

**basic explanation:** The objective sums log-probabilities because samples are treated as independent observations.","EX 2"
"Why Log-Likelihood instead of Likelihood?","**answer:** The logarithm converts a product of very small probabilities into a sum in a reasonable numeric range preventing numerical underflow and simplifying computation (addition vs. multiplication).

**basic explanation:** Logs turn tiny probability products into stable sums, avoiding underflow and making optimization easier.","EX 2"
