Question Number,Question Type,Question Text,Question Image File,Option A,Option B,Option C,Option D,Option E,Option F,Options Image Files,Correct Answer,Explanation A,Explanation B,Explanation C,Explanation D,Explanation E,Explanation F
1.1,MCQ,"We discussed the 6 fundamental postulates of pattern recognition. Postulate 6 states ""Similarity through feature space proximity"". Which of the following statements best describes this postulate? (SC)",,Two patterns are similar if their features differ only lightly. This implies that small differences in the input features should not change the classification drastically.,"Patterns belonging to the same class form a compact group in the feature space, meaning their features are similar to each other.",A pattern consists of simpler constituents which have certain relations to each other and can be decomposed into these constituents.,"A complex pattern has a certain structure, meaning that not any arrangement of simpler constituents is a valid pattern.",,,,A,"Explanation: **Correct** - Postulate 6 (Similarity through feature space proximity) states that patterns with similar features in the feature space should be classified similarly. Small differences in features lead to small differences in classification.

Basic explanation (HS level): Small feature changes = small classification changes. This is the core of Postulate 6 about proximity meaning similarity.","Explanation: **Incorrect** - This describes Postulate 3 (Compactness and Separability), which addresses how patterns of the same class cluster together in feature space.

Basic explanation (HS level): This describes clustering patterns, not similarity through proximity.","Explanation: **Incorrect** - This describes Postulate 4 (Decomposability), which states that patterns consist of simpler components with relationships.

Basic explanation (HS level): This is about breaking patterns into pieces, not about similarity in features.","Explanation: **Incorrect** - This describes Postulate 5 (Structural Constraints), which addresses the structure and validity of pattern arrangements.

Basic explanation (HS level): This is about pattern structure, not feature similarity.",,
1.2,MCQ,Why is convexity an important property in optimization problems? (SC),,"It guarantees that the problem has a closed-form analytical solution, eliminating the need for iterative algorithms like Gradient Descent.","It ensures that any local minimum is also a global minimum, preventing the optimization algorithm from getting stuck in local optima.","It implies that the objective function is linear, which ensures that the computational complexity of the optimization is always linear.","It ensures that the Hessian matrix is always indefinite, allowing the algorithm to escape saddle points more efficiently.",,,,B,"Explanation: **Incorrect** - Convexity does NOT guarantee closed-form solutions. Many convex problems require iterative algorithms. The key property is uniqueness, not solvability via closed form.

Basic explanation (HS level): Convex problems can still need iterative solvers like gradient descent.","Explanation: **Correct** - Convexity is crucial because it ensures any local minimum is also a global minimum. This prevents optimization algorithms from getting stuck in local optima, a major problem in non-convex optimization.

Basic explanation (HS level): In a bowl-shaped (convex) surface, the lowest point you find is always the global best. This prevents getting trapped in local valleys.","Explanation: **Incorrect** - Convexity does NOT imply linearity. Many convex functions are highly nonlinear (e.g., quadratic). Computational complexity is not necessarily linear either.

Basic explanation (HS level): Quadratic functions are convex but not linear.","Explanation: **Incorrect** - Convexity ensures the Hessian is positive semi-definite (not indefinite). An indefinite Hessian indicates saddle points, which contradicts convexity.

Basic explanation (HS level): The math shows convexity gives positive definiteness, not indefiniteness.",,
1.3,MCQ,State which of the 4 following statements are true for discriminative and/or generative models: (MC),,It directly models the decision boundary,It can classify an input feature vector,It models class distributions,It can be trained with training data,,,,1. Discriminative model; 2. Discriminative and Generative model; 3. Generative model; 4. Discriminative and Generative model,"Explanation: Discriminative models directly model decision boundaries without estimating class distributions.

Basic explanation (HS level): Discriminative = focuses on separating classes, not on understanding each class.","Explanation: Both discriminative and generative models can classify because they both make predictions; generative models do it via Bayes rule.

Basic explanation (HS level): Both types can predict - discriminative directly, generative indirectly.","Explanation: Generative models explicitly model class distributions p(x|y) to understand the data structure.

Basic explanation (HS level): Generative = tries to understand and generate data from each class.","Explanation: Both can be trained with training data. Discriminative optimizes decision boundaries; generative builds probability models.

Basic explanation (HS level): Both need data, just use it differently.",,
2.1,MCQ,"As you explain the model choice to the Health Commissioner, which of the following statements correctly describe the fundamental properties of your Logistic Regression model?",,"It is a generative model that estimates the joint density p(x, y) of the population’s health data before applying Bayes’ rule.",It is a discriminative model that directly estimates the risk p(y|x) without modeling how environmental features p(x|y) are distributed.,"Unlike a simple Perceptron, it outputs a calibrated probability value between 0 and 1, allowing for nuanced risk tiers.",It requires the assumption that the feature distributions for healthy and ill residents are Gaussian with equal covariance matrices.,"It is solved using a closed-form analytical solution, making training instantaneous once the data is collected.",,,"B, C","Explanation: **Incorrect** - Logistic Regression is discriminative, not generative. It does NOT estimate p(x,y). It directly estimates p(y|x).

Basic explanation (HS level): Logistic regression does not model how features are distributed (that's generative). It only predicts probability of the outcome.","Explanation: **Correct** - Logistic Regression is fundamentally a discriminative model. It estimates p(y|x) without modeling p(x|y), the feature distributions.

Basic explanation (HS level): Logistic regression directly predicts risk without needing to understand feature structure for each class.","Explanation: **Correct** - Unlike the Perceptron (which outputs 0 or 1), Logistic Regression uses the sigmoid function to output probabilities between 0 and 1. This enables risk stratification.

Basic explanation (HS level): Logistic regression gives probabilities like 0.3 or 0.8, not just yes/no. This is useful for risk levels.","Explanation: **Incorrect** - Logistic Regression does NOT assume Gaussian distributions or equal covariance. These assumptions are required for LDA (Linear Discriminant Analysis), not Logistic Regression.

Basic explanation (HS level): Logistic regression is more flexible. It doesn't need these specific distribution assumptions.","Explanation: **Incorrect** - Logistic Regression uses iterative numerical methods (gradient ascent), not a closed-form analytical solution. Training requires iteration.

Basic explanation (HS level): Logistic regression requires an iterative algorithm; it doesn't have a direct formula like linear regression.",
2.2,MCQ,"To map health scores to probabilities, you use the logistic sigmoid function [[MATH]]g(z) = 1/(1+e^{-z})[[/MATH]]. Which of the following mathematical properties of this ""risk curve"" are valid?",,"The function satisfies the symmetry relation [[MATH]]g(-z) = -g(z)[[/MATH]].","The sensitivity (derivative) can be expressed using the risk value itself: [[MATH]]g'(z) = g(z)(1-g(z))[[/MATH]].","The function maps any real-valued health score strictly monotonically to a probability in (0, 1).","At a neutral score of 0, the predicted risk is [[MATH]]g(0) = 0[[/MATH]].","The function satisfies the symmetry relation [[MATH]]g(-z) = 1-g(z)[[/MATH]].",,,"B, C, E","Explanation: **Incorrect** - For the logistic function, the correct symmetry is [[MATH]]g(-z) = 1-g(z)[[/MATH]], not [[MATH]]-g(z)[[/MATH]]. A function with [[MATH]]f(-z)=-f(z)[[/MATH]] is odd around 0, but sigmoid is centered around 0.5.

Basic explanation (HS level): Sigmoid values at +z and -z add up to 1. So they mirror around 0.5, not around 0.","Explanation: **Correct** - The derivative identity [[MATH]]g'(z)=g(z)(1-g(z))[[/MATH]] is exact and is one of the key reasons sigmoid is convenient in optimization.

Basic explanation (HS level): The slope is determined directly by the current probability. It is largest at [[MATH]]g(z)=0.5[[/MATH]] and gets small near 0 or 1.","Explanation: **Correct** - Sigmoid is strictly increasing for all real [[MATH]]z[[/MATH]], and its output is always between 0 and 1 (never reaching the endpoints).

Basic explanation (HS level): Any score can be converted to a probability, and bigger score means bigger probability.","Explanation: **Incorrect** - At [[MATH]]z=0[[/MATH]], [[MATH]]g(0)=1/(1+1)=0.5[[/MATH]], not 0.

Basic explanation (HS level): Zero score corresponds to a 50-50 prediction.","Explanation: **Correct** - This is the correct logistic symmetry: [[MATH]]g(-z)=1-g(z)[[/MATH]], equivalent to [[MATH]]g(z)+g(-z)=1[[/MATH]].

Basic explanation (HS level): The curve is perfectly mirrored around the 0.5 line.",
2.3,MCQ,"You define a ""High Risk"" alert when [[MATH]]p(y = 1|x) \ge 0.5[[/MATH]]. Which statements regarding the geometric boundary between ""At Risk"" and ""Safe"" zones are correct?",,"The decision boundary is the set of points where the log-odds (logit) of falling ill equal [[MATH]]0[[/MATH]].","The decision boundary is defined by the hyperplane [[MATH]]\theta^T x = 0.5[[/MATH]].","The decision boundary is linear in the feature space defined by [[MATH]]x[[/MATH]].","If we use non-linear transformations [[MATH]]\phi(x)[[/MATH]] (e.g., squaring the age), the decision boundary must still be linear in the original input space.","Residents lying exactly on the decision boundary have a predicted risk probability of [[MATH]]0.5[[/MATH]].",,,"A, C, E","Explanation: **Correct** - At [[MATH]]p=0.5[[/MATH]], the log-odds (logit) equals [[MATH]]0[[/MATH]]. Since [[MATH]]g(\theta^T x) = 0.5[[/MATH]] means [[MATH]]e^{\theta^T x} = 1[[/MATH]], therefore [[MATH]]\theta^T x = 0[[/MATH]].

Basic explanation (HS level): When probability is exactly 50-50, the log-odds is 0.","Explanation: **Incorrect** - The hyperplane is θTx = 0 (not 0.5). At the decision boundary, g(θTx) = 0.5 requires θTx = 0.

Basic explanation (HS level): The threshold value (0.5) doesn't define the hyperplane; the equation θTx = 0 does.","Explanation: **Correct** - The decision boundary is linear in feature space. The equation θTx = 0 is a hyperplane (linear boundary).

Basic explanation (HS level): Logistic regression creates straight-line (or hyperplane) decision boundaries.","Explanation: **Incorrect** - Non-linear feature transformations φ(x) change the decision boundary in the transformed space, though they remain linear in φ(x). The boundary in original space becomes nonlinear.

Basic explanation (HS level): If you square age first, the boundary becomes curved in the original age space.","Explanation: **Correct** - By definition, the decision boundary is at g(θTx) = 0.5, so all points on it are assigned exactly 0.5 probability.

Basic explanation (HS level): The decision boundary is defined as the set of points where probability equals 0.5.",
2.4,MCQ,You train the model by maximizing the log-likelihood [[MATH]]L(\theta)[[/MATH]] of the historical health records. Which statements about the optimization and training process are true?,,"The log-likelihood function [[MATH]]L(\theta)[[/MATH]] is concave, ensuring that your gradient ascent will find the global best fit for the data.","The gradient of the log-likelihood is [[MATH]]\nabla L(\theta) = \sum_{i=1}^{m}(y_i - g(\theta^T x_i))x_i[[/MATH]].",The model is prone to getting stuck in local optima if the initial health weights are poorly chosen.,The Newton-Raphson update step used for training can be interpreted as an Iteratively Reweighted Least Squares (IRLS) problem.,"The weight update depends only on whether the prediction was ""right or wrong"" (the sign), similar to the Perceptron algorithm.",,,"A, B, D","Explanation: **Correct** - The log-likelihood of logistic regression is a concave function. Concavity guarantees any local maximum is a global maximum, so gradient ascent finds the global optimum.

Basic explanation (HS level): Concave (bowl-shape) means the highest point is always reachable and unique. No local traps.","Explanation: **Correct** - This is the gradient formula for logistic regression log-likelihood. It elegantly relates to the prediction error (yi - g(θTxi)).

Basic explanation (HS level): The gradient is proportional to the error times the input feature.","Explanation: **Incorrect** - Due to concavity, logistic regression is NOT prone to local optima. It will always find the global optimum regardless of initialization.

Basic explanation (HS level): Logistic regression is one of the nice algorithms - concavity means no local trap worries.","Explanation: **Correct** - The Newton-Raphson method for logistic regression can be viewed as Iteratively Reweighted Least Squares (IRLS), providing geometric interpretation.

Basic explanation (HS level): IRLS is an elegant way to think about Newton's method for logistic regression.","Explanation: **Incorrect** - Logistic regression weights depend on probabilities p(y|x), not just sign. It's very different from the Perceptron which only cares about being right or wrong.

Basic explanation (HS level): Logistic regression is continuous and probability-based, unlike Perceptron which only cares about sign.",
2.5,MCQ,"Consider a simplified model with weights for Age ([[MATH]]x_1[[/MATH]]), Exposure ([[MATH]]x_2[[/MATH]]), and a Bias: [[MATH]]\theta = [1, 1, -2]^T[[/MATH]]. The risk score is [[MATH]]z = x_1 + x_2 - 2[[/MATH]]. Which of the following are true?",,"A resident with Age=1 and Exposure=1 lies exactly on the decision boundary.","A resident with Age=2 and Exposure=2 is assigned a risk probability [[MATH]]p(y = 1|x) > 0.5[[/MATH]].","A resident with Age=0 and Exposure=0 has a log-odd risk score of [[MATH]]0[[/MATH]].","The equation of the risk decision boundary is [[MATH]]x_2 = -x_1 + 2[[/MATH]].","If the bias term were changed to 0, a ""newborn"" (Age=0) with zero exposure would lie on the decision boundary.",,,"A, B, D, E","Explanation: **Correct** - With [[MATH]]\theta=[1,1,-2][[/MATH]], [[MATH]]z = 1(1) + 1(1) - 2 = 0[[/MATH]]. At [[MATH]]z=0[[/MATH]], [[MATH]]g(0)=0.5[[/MATH]] (boundary).

Basic explanation (HS level): Plugging in: z = 1 + 1 - 2 = 0, which is exactly the boundary.","Explanation: **Correct** - At Age=2, Exposure=2: z = 2 + 2 - 2 = 2. g(2) = 1/(1+e^-2) ≈ 0.88 > 0.5.

Basic explanation (HS level): z = 2, so sigmoid gives high probability > 0.5.","Explanation: **Correct** - At Age=0, Exposure=0: z = 0 + 0 - 2 = -2 (not 0). Log-odds = -2.

Basic explanation (HS level): Everyone with zero characteristics has z = -2 (bias term).","Explanation: **Correct** - At boundary z=0: θTx=0 means 1·x1 + 1·x2 - 2 = 0, which rearranges to x2 = -x1 + 2.

Basic explanation (HS level): Solving the boundary equation directly gives this line equation.","Explanation: **Correct** - With bias=0 and Age=0, Exposure=0: z = 0 + 0 + 0 = 0 (boundary condition).

Basic explanation (HS level): Removing the bias term means z=0 when both features are zero.",
3.1,MCQ,A prototype scanner is evaluated on a test set of [[MATH]]N = 100[[/MATH]] bags. The following confusion matrix summarizes the initial results: reference\hypothesis + − + − Which statements are correct based on this audit?,,[[MATH]]FPR = 15[[/MATH]],[[MATH]]ACC = 75[[/MATH]],TPR equals Recall and here [[MATH]]TPR = 40[[/MATH]],The negative predictive value is [[MATH]]NPV = 35[[/MATH]],The F1-score can be computed as [[MATH]]F1 = 80[[/MATH]],"Since the dataset is balanced (50 positives, 50 negatives), ACC must equal TPR",,"B, C, E","Explanation: **Incorrect** - [[MATH]]FPR = FP/(FP+TN) = 15/(15+35) = 15/50 = 0.30[[/MATH]], not [[MATH]]15[[/MATH]]. (A confuses rate with count.)

Basic explanation (HS level): FPR should be a rate (proportion), not a count. 15 is the count, 0.3 is the rate.","Explanation: **Correct** - ACC = (TP+TN)/N = (40+35)/100 = 75/100 = 0.75 = 75%.

Basic explanation (HS level): Accuracy is the proportion of correct predictions overall.","Explanation: **Correct** - TPR = TP/(TP+FN) = 40/50 = 0.80 = 80%. TPR equals Recall. The calculation matches.

Basic explanation (HS level): True positive rate measures what fraction of actual positives we caught.","Explanation: **Incorrect** - NPV = TN/(TN+FN) = 35/(35+10) = 35/45 ≠ 35/50. (Wrong denominator.)

Basic explanation (HS level): NPV denominator includes negatives we correctly identified and negatives we missed.","Explanation: **Correct** - F1 = 2·Precision·Recall/(Precision+Recall) = 2·(40/55)·(40/50)/((40/55)+(40/50)) = 80/105.

Basic explanation (HS level): F1-score is the harmonic mean of precision and recall.","Explanation: **Incorrect** - ACC ≠ TPR always. With balanced data, ACC = (TP+TN)/N while TPR = TP/(TP+FN). These are different.

Basic explanation (HS level): Even with balanced classes, accuracy and TPR measure different things."
3.2,MCQ,"To communicate with the security staff, you must clarify the meaning of different metrics. Which of the following statements about metric relationships are true?",,The F-measure is the geometric mean of Recall and Precision.,The false positive rate (FPR) is the proportion of misclassified samples among all bags flagged by the system.,The true positive rate (TPR) is numerically equal to Recall and Sensitivity.,"If the scanner flags every single bag as a threat, then its Specificity equals 1.",The denominator of the negative predictive value (NPV) contains true negatives (TN) and false negatives (FN).,Specificity equals 1 −FPR.,,"C, E, F","Explanation: **Incorrect** - F-measure is the harmonic mean (not geometric mean) of Recall and Precision: F1 = 2·PR·Rec/(PR+Rec).

Basic explanation (HS level): Harmonic mean vs geometric mean - the formula uses addition, not multiplication.","Explanation: **Incorrect** - FPR is the false positive rate among actual negatives: FPR = FP/(FP+TN). It's NOT about misclassification among flagged items.

Basic explanation (HS level): FPR is about items that don't have the threat but were flagged, as a proportion of all actually safe items.","Explanation: **Correct** - TPR = TP/(TP+FN) and Recall = TP/(TP+FN). They are identical. Both measure sensitivity.

Basic explanation (HS level): TPR and recall are the same metric - both measure successful detection rate.","Explanation: **Incorrect** - If every bag is flagged positive, TN=0 (no true negatives), so Specificity = TN/(TN+FP) = 0/(0+50) = 0, not 1.

Basic explanation (HS level): If we flag everything, we catch all threats but also flag all safe items as dangerous.","Explanation: **Correct** - NPV = TN/(TN+FN). The denominator includes correct negative predictions and missed negatives.

Basic explanation (HS level): NPV denominator is all the items predicted negative (both correct and incorrect).","Explanation: **Correct** - Specificity = TN/(TN+FP) = 1 - FP/(TN+FP) = 1 - FPR by definition.

Basic explanation (HS level): One minus false positive rate equals specificity - perfect inverse relationship."
